方位角(度),时间,X(度),Y(度)
-45.000,2026-06-05 17:37:43.311,0.690,83.250
-45.000,2026-06-05 17:37:43.812,0.690,83.250
-45.000,2026-06-05 17:37:44.320,0.690,83.250
-45.000,2026-06-05 17:37:44.817,0.690,83.250
-45.000,2026-06-05 17:37:45.315,0.690,83.250
-45.000,2026-06-05 17:37:45.809,0.690,83.250
-45.000,2026-06-05 17:37:46.322,0.690,83.250
-45.000,2026-06-05 17:37:46.815,0.690,83.250
-45.000,2026-06-05 17:37:47.309,0.690,83.250
-45.000,2026-06-05 17:37:47.821,0.690,83.250
-45.000,2026-06-05 17:37:48.322,0.690,83.250
-45.000,2026-06-05 17:37:48.817,0.690,83.250
-45.000,2026-06-05 17:37:49.310,0.690,83.250
-45.000,2026-06-05 17:37:49.818,0.690,83.250
-45.000,2026-06-05 17:37:50.325,0.690,83.250
-45.000,2026-06-05 17:37:50.590,0.690,83.250
-30.000,2026-06-05 17:37:57.820,0.700,83.250
-30.000,2026-06-05 17:37:58.311,0.700,83.250
-30.000,2026-06-05 17:37:58.808,0.700,83.250
-30.000,2026-06-05 17:37:59.320,0.700,83.250
-30.000,2026-06-05 17:37:59.812,0.700,83.250
-30.000,2026-06-05 17:38:00.310,0.700,83.250
-30.000,2026-06-05 17:38:00.818,0.700,83.260
-30.000,2026-06-05 17:38:01.313,0.700,83.250
-30.000,2026-06-05 17:38:01.814,0.700,83.250
-30.000,2026-06-05 17:38:02.324,0.700,83.250
-30.000,2026-06-05 17:38:02.818,0.700,83.250
-30.000,2026-06-05 17:38:03.312,0.700,83.250
-30.000,2026-06-05 17:38:03.825,0.700,83.250
-30.000,2026-06-05 17:38:04.323,0.700,83.250
-30.000,2026-06-05 17:38:04.816,0.700,83.250
-30.000,2026-06-05 17:38:05.313,0.700,83.250
-30.000,2026-06-05 17:38:05.825,0.700,83.250
-30.000,2026-06-05 17:38:06.321,0.700,83.250
-30.000,2026-06-05 17:38:06.816,0.700,83.250
-30.000,2026-06-05 17:38:07.325,0.700,83.250
-30.000,2026-06-05 17:38:07.587,0.700,83.250
-15.000,2026-06-05 17:38:14.462,0.720,83.260
-15.000,2026-06-05 17:38:14.957,0.710,83.260
-15.000,2026-06-05 17:38:15.465,0.710,83.260
-15.000,2026-06-05 17:38:15.963,0.710,83.260
-15.000,2026-06-05 17:38:16.470,0.710,83.260
-15.000,2026-06-05 17:38:16.965,0.710,83.260
-15.000,2026-06-05 17:38:17.470,0.710,83.260
-15.000,2026-06-05 17:38:17.963,0.710,83.260
-15.000,2026-06-05 17:38:18.471,0.710,83.260
-15.000,2026-06-05 17:38:18.964,0.710,83.260
-15.000,2026-06-05 17:38:19.470,0.710,83.260
-15.000,2026-06-05 17:38:19.964,0.710,83.260
-15.000,2026-06-05 17:38:20.473,0.710,83.250
-15.000,2026-06-05 17:38:20.967,0.710,83.250
-15.000,2026-06-05 17:38:21.473,0.710,83.260
-15.000,2026-06-05 17:38:21.971,0.710,83.260
-15.000,2026-06-05 17:38:22.480,0.710,83.260
-15.000,2026-06-05 17:38:22.976,0.710,83.260
-15.000,2026-06-05 17:38:23.469,0.710,83.260
-15.000,2026-06-05 17:38:23.980,0.710,83.250
-15.000,2026-06-05 17:38:24.242,0.710,83.250
0.000,2026-06-05 17:38:31.413,0.720,83.270
0.000,2026-06-05 17:38:31.922,0.720,83.270
0.000,2026-06-05 17:38:32.422,0.720,83.260
0.000,2026-06-05 17:38:32.917,0.720,83.260
0.000,2026-06-05 17:38:33.412,0.720,83.260
0.000,2026-06-05 17:38:33.921,0.720,83.260
0.000,2026-06-05 17:38:34.418,0.720,83.260
0.000,2026-06-05 17:38:34.926,0.720,83.270
0.000,2026-06-05 17:38:35.421,0.720,83.270
0.000,2026-06-05 17:38:35.917,0.720,83.270
0.000,2026-06-05 17:38:36.424,0.720,83.270
0.000,2026-06-05 17:38:36.918,0.720,83.270
0.000,2026-06-05 17:38:37.416,0.720,83.270
0.000,2026-06-05 17:38:37.914,0.720,83.260
0.000,2026-06-05 17:38:38.423,0.720,83.260
0.000,2026-06-05 17:38:38.918,0.720,83.260
0.000,2026-06-05 17:38:39.424,0.720,83.270
0.000,2026-06-05 17:38:39.922,0.720,83.270
0.000,2026-06-05 17:38:40.419,0.720,83.270
0.000,2026-06-05 17:38:40.928,0.720,83.270
0.000,2026-06-05 17:38:41.192,0.720,83.270
15.000,2026-06-05 17:38:48.069,0.730,83.270
15.000,2026-06-05 17:38:48.567,0.730,83.270
15.000,2026-06-05 17:38:49.061,0.730,83.270
15.000,2026-06-05 17:38:49.574,0.730,83.270
15.000,2026-06-05 17:38:50.069,0.730,83.270
15.000,2026-06-05 17:38:50.563,0.730,83.270
15.000,2026-06-05 17:38:51.078,0.730,83.270
15.000,2026-06-05 17:38:51.571,0.730,83.270
15.000,2026-06-05 17:38:52.078,0.730,83.270
15.000,2026-06-05 17:38:52.571,0.730,83.270
15.000,2026-06-05 17:38:53.065,0.730,83.270
15.000,2026-06-05 17:38:53.576,0.730,83.270
15.000,2026-06-05 17:38:54.070,0.730,83.270
15.000,2026-06-05 17:38:54.580,0.730,83.270
15.000,2026-06-05 17:38:55.080,0.730,83.270
15.000,2026-06-05 17:38:55.575,0.730,83.270
15.000,2026-06-05 17:38:56.069,0.720,83.270
15.000,2026-06-05 17:38:56.581,0.720,83.270
15.000,2026-06-05 17:38:57.077,0.730,83.270
15.000,2026-06-05 17:38:57.571,0.730,83.270
15.000,2026-06-05 17:38:57.833,0.730,83.270
30.000,2026-06-05 17:39:05.072,0.730,83.290
30.000,2026-06-05 17:39:05.565,0.730,83.290
30.000,2026-06-05 17:39:06.063,0.730,83.290
30.000,2026-06-05 17:39:06.564,0.730,83.290
30.000,2026-06-05 17:39:07.075,0.730,83.280
30.000,2026-06-05 17:39:07.571,0.730,83.280
30.000,2026-06-05 17:39:08.068,0.730,83.280
30.000,2026-06-05 17:39:08.575,0.730,83.280
30.000,2026-06-05 17:39:09.068,0.730,83.280
